,Address,Body
57,AD-Airtel,"Your Airtel pack ends TOMORROW. If not recharged, outgoing services will stop. Recharge without losing your current validity u.airtel.in/FDP2 Ignore if done"
58,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
59,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
60,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
61,CP-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'JEE Advanced 2021 - Jeet ki Taiyari Hosh ke Sath (Ep-02)' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Watch Now: bit.ly/bmsir30sept

ALLEN"
62,TM-ALNDPR,"Dear Student,

The belief, hard work and efforts which you have done to get the goal and success will definitely come true.

All the Best for JEE Advanced 2021 Exam.

ALLEN"
63,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
64,AD-Airtel,Airtel pack on 8109108797 ends TONIGHT. Recharge with your favourite Unlimited Pack for continued services u.airtel.in/FDP2 Ignore if already done
65,AZ-AIRTEL,Aapka Airtel Pack aaj samapt ho jaega. Sewa jaari rakhne ke liye Unlimited pack se recharge karein: www.bit.ly/rchhome . Recharge kar liya toh ignore kare
66,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
67,AY-AIRTEL,100% ALERT: You have consumed 100% of your daily highspeed data limit. Know about the data packs or recharge online via Airtel Thanks App: u.airtel.in/Data100
68,AY-AIRAPP,You have successfully claimed 1GB data coupon. Data is valid till 3 days and will reflect in your account in 15min. Click here to check balance- u.airtel.in/dcc
69,JM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'JEE Advanced 2021 - Jeet ki Taiyari Hosh ke Sath (Ep-03)' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Watch Now: : bit.ly/jeebmsir1oct  

ALLEN"
70,AY-AIRAPP,You have successfully claimed 1GB data coupon. Data is valid till 3 days and will reflect in your account in 15min. Click here to check balance- u.airtel.in/dcc
71,AY-AIRTEL,खुशखबरी! अब आपका नेटवर्क अनुभव और भी बेहतर हो गया है नए एयरटेल 4G कवरेज बूस्ट के साथ! आप GAYTRI VIHAR में हर जगह बेहतर नेटवर्क कवरेज और डाटा स्पीड का आनंद लें सकते है| टीम एयरटेल
72,TM-ALLENN,"Dear Student,

Believe in yourself, keep your spirit high, stay motivated, stay focused and face your every goal with confidence.

Watch this Motivational Video Song https://bit.ly/Shankhnaad ignite the spark within you and do your best in JEE ADVANCED 2021

All the Best

ALLEN"
73,AZ-AIRTEL,Alert! Airtel No.8109108797 ki Outgoing/data sewayen band hai. Sewa shuru karein Unlimited Pack se recharge kar u.airtel.in/FDP1 Recharge kia toh ignore karein
74,Airtel,"Recharge of Rs 449.00 is successful for your Airtel Mobile on 01-10-2021 at 06:41PM Transaction ID 832771201. Check your balance, validity, tariff and best recharges on Airtel Thanks App - u.airtel.in/App"
75,Airtel,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, daily 2GB data and 100 SMS. Pack valid for 56 days.Also get FREE Hello Tunes on Wynk Music App with your unlimited pack. Claim here: i.wynk.in/bun"
76,AY-AIRINF,"Hi, Payment of Rs. 399.0 via Net Banking has failed. Order Id: 6849688069294637056. If money has been deducted, it will be refunded to your account within 7-10 days. Please keep the Order ID for future reference."
77,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
78,TM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'JEE Advanced 2021 - Jeet ki Taiyari Hosh ke Sath (Ep-04)' by Sh. Brajesh Maheshwari Sir (Co-Founder Director, ALLEN & HOD Physics).

Watch now: bit.ly/jeebmsir02oct

ALLEN"
79,BG-UNIONB,Your SB A/c *1487 Credited for Rs:52605 on 02-10-2021 11:06:10 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN321275085826 Avl Bal Rs:646260.51 -Union Bank of India
80,TM-ALNIND,"Dear Student,

When you enter the exam hall with a positive mindset, you're bound to succeed. Good luck with your exam. Keep making us proud!

Wish you all the Best for JEE Advanced 2021 Exam.

Regards
Kamal Sharma
Center Head, ALLEN Indore"
81,AD-NICECN,Your Reporting time at Test Center for JEE Advanced Exam Session 1 is 07:30AM. (sent via NICSI)
82,AX-NICECN,Your Reporting time at Test Center for JEE Advanced Exam Session 2 is 01:45PM. (sent via NICSI)
83,AY-AIRTEL,खुशखबरी! अब आपका नेटवर्क अनुभव और भी बेहतर हो गया है नए एयरटेल 4G कवरेज बूस्ट के साथ! आप GAYTRI VIHAR में हर जगह बेहतर नेटवर्क कवरेज और डाटा स्पीड का आनंद लें सकते है| टीम एयरटेल
84,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
85,AY-AIRTEL,50% Alert: Aapke rozana High Speed Data usage ke liye. Airtel Thanks App par usage track karein: u.airtel.in/DH50
86,AY-AIRTEL,90% Alert: You have used 90% of your daily highspeed data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
87,TM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'IIT-NIT Admission, JoSAA Counselling 2021' by Amit Ahuja Sir (Career Counselling Expert).

Watch Now: bit.ly/IIT-NIT_JoSSA

ALLEN"
88,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
89,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
90,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
91,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
92,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
93,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
94,59039200,397175 is your Facebook password reset code
95,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
96,BP-BSNLCS,"BSNL has now launched new BSNL Selfcare Mobile APP for checking Talktime Balance, Plan Validity, Data and Voice Usage, Recharge and many new features. Pls download https://play.google.com/store/apps/details?id=com.digital.bsnl.selfcare and enjoy the BSNL latest services"
97,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
98,JM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'JoSAA 2021 Counselling & IIT-NIT Admission Queries' by Mr. Amit Ahuja (Career Counselling Expert).

Watch Now: bit.ly/JOSAA-2021

ALLEN"
99,AY-AIRTEL,90% Alert:You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App:  u.airtel.in/Data90
100,AY-AIRTEL,"100% ALERT:You've used 100% of your daily highspeed data limit. Speed is now reduced to 64Kbps. For data packs, click i.airtel.in/rc89"
101,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
102,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
103,BZ-ALLENS,"Dear Student,

We are delighted and proud to announce that ALLEN Classroom Student Mridul Agarwal has secured All India Rank-1 In IIT-JEE Advanced 2021. He has created a record by scoring the highest ever 96.66% in JEE Advanced 2021. He is also the first Student who has secured AIR 1 in both JEE Main and JEE Advanced.

Visit the Link: https://bit.ly/3vi9ESP

ALLEN"
104,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
105,TM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'Career Manthan - What after JEE Advanced?'  by IIT-JEE experts of ALLEN.

Watch Now: https://bit.ly/what-next-iit

ALLEN"
106,AY-AIRTEL,हम हर दिन बेहतर हो रहे हैं! जल्द ही GAYTRI VIHAR में AIRTEL नेटवर्क अपग्रेड होने वाला है। आनंद लें बेहतर स्पीड का एयरटेल के बेहतरीन नेटवर्क के साथ। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|
107,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
108,TM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'JoSAA Counselling 2021: How to Fill Choices for IIT/NIT?' by Mr. Amit Ahuja (Career Counselling Expert).

Watch Now: bit.ly/josaa2021

ALLEN"
109,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
110,AIRTEL,अलर्ट! एयरटेल कभी भी 10 अंक वाले मोबाइल नंबर से आपके अकाउंट/सिम अपडेट के लिए KYC से सम्बंधित SMS नहीं भेजता है| ऐसी धोखाधड़ी से सावधान रहें और कॉल पर कभी भी कोई OTP/कोड शेयर ना करें|
111,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
112,BZ-624365,Namaskar! BSNL Rewards Ki taraf se Janamdin ki Hardik Shubkamnaye! Is Din ko Aur Khass banane ke lie aapke BSNL Reward Account par Agle 24hr Me 250 Reward Points Add kiye jaayenge. Aaj he register kare https://bsnl.faboolus.com/flk/EsaMTkrQ/clk/P2N1c3RfaWQ9MjQ2MDc5NiZwaG9uZT03NjQ5MDc5Nzkw
113,AY-AIRTEL,हम हर दिन बेहतर हो रहे हैं! जल्द ही GAYTRI VIHAR में AIRTEL नेटवर्क अपग्रेड होने वाला है। आनंद लें बेहतर स्पीड का एयरटेल के बेहतरीन नेटवर्क के साथ। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|
114,BZ-653740,BSNL offers discounted STV-139 with benefits of STV-187 (U/L calls+ U/L 2GB/day data+ 100SMS/day: 28 days) Call 1503.Recharge STV-139 via http://bit.ly/mBSNApp
115,BZ-653740,BSNL offers discounted PV-1199 with benefits of PV-1499 (U/L calls+ 24GB data: 365 days) For details Call 1503. Recharge PV-1199 via http://bit.ly/mBSNApp
116,BZ-BSNLMP,"Dear Customer, while receiving international calls, if local or STD or no number displayed on your phone, please inform on 1963 or Toll free number 1800110420."
117,TM-HDFCBK,"Dear Mohd! Know how you can enable your HDFC Bank Debit card for online, contactless and international usage here: hdfcbk.io/g/kvFda3i0gZd"
118,TM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'JoSAA Counselling 2021: IIT-NIT-IIIT Admission Live Q&A Doubt Solving' by Mr. Amit Ahuja (Career Counselling Expert).

Watch Now: https://bit.ly/ask_josaa

ALLEN"
119,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
120,BZ-653740,BSNL offers discounted STV-139 with benefits of STV-187 (U/L calls+ U/L 2GB/day data+ 100SMS/day: 28 days) Call 1503.Recharge STV-139 via http://bit.ly/mBSNApp
121,BZ-653740,BSNL offers discounted PV-1199 with benefits of PV-1499 (U/L calls+ 24GB data: 365 days) For details Call 1503. Recharge PV-1199 via http://bit.ly/mBSNApp
122,BZ-BSNLMP,"Dear Customer, while receiving international calls, if local or STD or no number displayed on your phone, please inform on 1963 or Toll free number 1800110420."
123,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
124,BZ-653740,BSNL offers discounted STV-139 with benefits of STV-187 (U/L calls+ U/L 2GB/day data+ 100SMS/day: 28 days) Call 1503.Recharge STV-139 via http://bit.ly/mBSNApp
125,BZ-HDFCBK,"Dear Mohd! Know how you can enable your HDFC Bank Debit card for online, contactless and international usage here: hdfcbk.io/g/wX0JyRH3FZc"
126,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
127,BZ-653740,BSNL Extra 30days Festive Offer! Total365+30=395days with PV-1999: U/LVoice+U/LData+100SMS/day+PRBT+EROS. Recharge via http://bit.ly/mBSNApp. Limited period Offer!
128,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
129,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
130,TM-ALLENN,"Dear Student,

Greetings!!

It's a great pleasure to welcome you to this wonderful portal - ALLEN Alumni Network ""ALLENites"" - that allows each one of us to stay connected, share ideas and build an everlasting bond.

To strengthen this close knit network of ours, we would like you to visit our alumni portal, www.allenites.com where you can revive your journey with the institute while reconnecting with your batchmates and meeting new people, creating new bonds & memories.

Please join us @ https://www.allenites.com/user/signup.dz & enjoy much more on the portal.

For registration through mobile app download "" My Alumni Network "" from Play Store with this link
https://bit.ly/3aJXNDK

from Apple AppStore with this link
https://apple.co/3vge908

For any query contact Alumni Helpline No. +919116755222 or mail on allenites@allen.in

Regards
Allen Alumni Team"
131,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
132,TM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'What Next after 1st Round Seat Allocation, IIT-NIT Admission' by Mr. Amit Ahuja (Career Counselling Expert).

Set Reminder: https://bit.ly/whatnextjosaa

ALLEN"
133,JM-ALLENS,"Dear Student,

ALLEN Presents an exclusive Live Session on 'What Next after 1st Round Seat Allocation, IIT-NIT Admission' by Mr. Amit Ahuja (Career Counselling Expert).

Watch Now: https://bit.ly/whatnextjosaa

ALLEN"
134,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
135,BZ-653740,BSNL offers discounted PV-1199 with benefits of PV-1499 (U/L calls+ 24GB data: 365 days) For details Call 1503. Recharge PV-1199 via http://bit.ly/mBSNApp
136,BZ-653740,"During Vigilance Awareness Week(VAW)-2021 26th October, to 1st November, 2021, join in DoTs endeavour for a 'Independent India @ 75: Self Reliance with Integrity' and take e-pledge at http://pledge.cvc.nic.in"
137,AY-AIRTEL,"GAYTRI VIHAR में एयरटेल का नेटवर्क अपग्रेड कर दिया है| अब आनंद लें और भी बेहतर नेटवर्क, VoLTE, इंडोर कवरेज और तेज़ डाटा स्पीड का|"
138,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
139,BZ-653740,BSNL Extra 30days Festive Offer! Total365+30=395days with PV-1999: U/LVoice+U/LData+100SMS/day+PRBT+EROS. Recharge via http://bit.ly/mBSNApp. Limited period Offer!
140,BZ-BSNLMP,"During Vigilance Awareness Week(VAW)-2021 26th October, to 1st November, 2021, join in DoTs endeavour for a 'Independent India @ 75: Self Reliance with Integrity' and take e-pledge at http://pledge.cvc.nic.in"
141,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
142,AIRDOT,Please beware of unauthorized online quick loan providing apps which may mis-use your personal information from phone.
143,AD-FITJEE,"History recited itself as FIITJEE Classroom Program Students again bagged AIR 1, 2 & 3 this year. With 6 in Top 10, 12 in Top 20, 24 in Top 50,40 in Top 100 AIR; 5-Zonal, 12-State, 22-City Toppers. Details@ www.iitjeetoppers.com. Wish similar success? join FIITJEE program thru FTRE-26 Dec @ www.fiitjee-ftre.com FIITJEE Ltd FIITJEE LTD"
144,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
145,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
146,JD-UNIONB,Your SB A/c *1487 Credited for Rs:56327 on 01-11-2021 12:34:13 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN221305406110 Avl Bal Rs:706609.51 -Union Bank of India
147,CP-PMCsms,"Hello sir we are hiring a team, for MNCs, you can work from home, easy to earn 2000-50000 rupees a day wa.me/85297014312 Via-PMC"
148,BG-UNIONB,Your SB A/c *1487 Debited for Rs:550000 on 03-11-2021 12:56:07 by Transfer Avl Bal Rs:156609.51 -Union Bank of India
149,BZ-653740,BSNL Extra 30days Festive Offer! Total365+30=395days with PV-1999: U/LVoice+U/LData+100SMS/day+PRBT+EROS. Recharge via http://bit.ly/mBSNApp. Limited period Offer!
150,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
151,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
152,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
153,BZ-653740,BSNL Extra 30days Festive Offer! Total365+30=395days with PV-1999: U/LVoice+U/LData+100SMS/day+PRBT+EROS. Recharge via http://bit.ly/mBSNApp. Limited period Offer!
154,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/DH50
